name,time,ConsumptionDiffNormalized
electricity,2018-10-16T15:04:24.716773225Z,174
electricity,2018-10-17T11:00:29.512806957Z,1210
electricity,2018-10-18T11:00:27.036704805Z,1218
electricity,2018-10-19T11:03:24.020147654Z,1220
electricity,2018-10-20T11:03:20.863944395Z,1219
electricity,2018-10-21T11:02:19.250133768Z,1204
electricity,2018-10-22T11:00:14.404278998Z,712
electricity,2018-10-23T11:00:12.651322022Z,206
electricity,2018-10-24T11:01:15.809933852Z,1225
electricity,2018-10-25T11:03:15.36995305Z,1218
electricity,2018-10-26T11:02:11.241108936Z,87
electricity,2018-10-27T11:00:09.052992298Z,312
electricity,2018-10-28T11:00:11.467872717Z,595
electricity,2018-10-29T11:01:09.535792743Z,404
electricity,2018-10-30T11:03:10.797205871Z,402
electricity,2018-10-31T11:02:15.999460931Z,323
electricity,2018-11-01T11:00:07.879700663Z,153
electricity,2018-11-02T11:00:14.638020219Z,301
electricity,2018-11-03T11:01:10.952799972Z,1099
electricity,2018-11-04T12:02:32.758670147Z,894
electricity,2018-11-05T12:00:33.291043985Z,1203
electricity,2018-11-06T12:00:36.862550768Z,1225
electricity,2018-11-07T12:01:43.817502228Z,1233
electricity,2018-11-08T12:03:46.038299786Z,1191
electricity,2018-11-09T12:02:39.682038073Z,1213
electricity,2018-11-10T12:00:32.385072518Z,1167
electricity,2018-11-11T12:00:32.977646396Z,1197
electricity,2018-11-12T12:01:31.36645663Z,1211
electricity,2018-11-13T12:03:35.665076463Z,54
electricity,2018-11-14T12:02:36.92724329Z,268
electricity,2018-11-15T12:00:33.468022168Z,104
electricity,2018-11-16T12:00:34.682478095Z,141
electricity,2018-11-17T12:01:38.251993836Z,94
electricity,2018-11-18T12:03:44.002550241Z,338
electricity,2018-11-19T12:02:39.321065353Z,110
electricity,2018-11-20T12:00:44.409934095Z,181
electricity,2018-11-21T12:00:40.846895801Z,489
electricity,2018-11-22T12:01:38.649709827Z,357
electricity,2018-11-23T12:03:35.801712367Z,101
electricity,2018-11-24T12:02:31.800458217Z,1140
electricity,2018-11-25T12:00:39.713883761Z,1212
electricity,2018-11-26T12:00:38.465425661Z,1229
electricity,2018-11-27T12:01:38.762402379Z,1226
electricity,2018-11-28T12:03:39.560825017Z,1192
electricity,2018-11-29T12:02:44.965302508Z,1217
electricity,2018-11-30T12:00:45.73245264Z,1214
electricity,2018-12-01T12:00:38.811779493Z,423
electricity,2018-12-02T12:01:43.463479318Z,1156
electricity,2018-12-03T12:03:33.901317358Z,1119
electricity,2018-12-04T12:02:26.266817519Z,1189
electricity,2018-12-05T12:17:32.947182856Z,125
electricity,2018-12-08T12:03:15.542821375Z,385
electricity,2018-12-09T12:02:22.203337669Z,169
electricity,2018-12-10T12:00:21.318328208Z,313
electricity,2018-12-11T12:00:24.84376091Z,413
electricity,2018-12-12T12:18:31.050946094Z,354
electricity,2018-12-13T12:03:23.37065738Z,245
electricity,2018-12-14T12:02:32.94616461Z,334
electricity,2018-12-15T12:00:33.520589573Z,1198
electricity,2018-12-16T12:00:36.114413708Z,1181
electricity,2018-12-17T18:38:56.449440894Z,1221
electricity,2018-12-18T12:03:34.464725337Z,1214
electricity,2018-12-19T12:02:38.95296873Z,1226
electricity,2018-12-20T12:00:38.178647496Z,1224
electricity,2018-12-21T12:00:42.590417397Z,1225
electricity,2018-12-22T12:01:46.401083536Z,1219
electricity,2018-12-23T12:03:51.377391197Z,1218
electricity,2018-12-24T12:02:48.887016526Z,1197
electricity,2018-12-25T12:00:52.159535565Z,1208
electricity,2018-12-26T12:01:00.584614442Z,287
electricity,2018-12-27T12:02:04.083896054Z,175
electricity,2018-12-28T12:03:56.947398941Z,474
electricity,2018-12-29T12:02:49.77098413Z,211
electricity,2018-12-30T12:00:48.200366004Z,95
electricity,2018-12-31T12:00:50.353929786Z,1877
